Textbox135,Textbox137,Textbox139,Textbox141,Textbox143,Textbox145,Textbox147,Textbox283,Textbox467,Textbox459,Textbox465,S_EIT_EFFV,Textbox461,Textbox285,Textbox457,Textbox455,Textbox453,Textbox451,Textbox421,Textbox437,Textbox435,Textbox433,Textbox431,Textbox423,Textbox429,Textbox425,Textbox469,Textbox471,Textbox475,Textbox477,Textbox473,Textbox427,Textbox489,Textbox493,Textbox529,Textbox531,Textbox533,Textbox541,Textbox539,Textbox537,Textbox535,Textbox527,Textbox525,Textbox523,Textbox519,Textbox521,Textbox517,Textbox515,Textbox513,Textbox511,Textbox509,Textbox507,Textbox505,Textbox503,Textbox501,Textbox499,Textbox497,Textbox495,Textbox491,Textbox218,Textbox220,Textbox224,Textbox222,Textbox228,Textbox226,Textbox230,Textbox232
2017,LANCASTER,360063,AKRON BORO,362603,EPHRATA AREA S D,0,,0.5,,0.5,,0,1,0,0,0,,0,,0,0,0,Lancaster County Tax Collection Bureau,1845 William Penn Way,,,Lancaster,PA,17601,,(717) 569-4521,,,(717) 569-1623,,www.lctcb.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360701,LANCASTER TAX COLLECTION DISTRICT
2017,BRADFORD,080033,ALBA BORO,086653,TROY AREA S D,0,,0.5,,0.5,,0,1,0,0,0,,0,,0,0,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080601,BRADFORD TAX COLLECTION DISTRICT
2017,BERKS,060035,ALBANY TWP,064003,KUTZTOWN AREA S D,1,,0.5,,0.5,,0,1,0,0,47,01/01/2013,5,01/01/2009,52,12000,0,Berks Earned Income Tax Bureau,1125 Berkshire Blvd,Suite 115,,Wyomissing,PA,19610,,(610) 372-8439,,(855) 372-8439,(610) 372-1102,beitb@berkseit.com,http://berkseit.com,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,Berkheimer-Bangor,50 N 7th St,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-8206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com/,061001,BERKS TAX COLLECTION DISTRICT
2017,BRADFORD,080065,ALBANY TWP,089003,WYALUSING AREA S D,0,,0.5,,0.94,07/01/2016,0,1.44,0,0,0,,0,,0,0,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080701,BRADFORD TAX COLLECTION DISTRICT
2017,ERIE,250033,ALBION BORO,258503,NORTHWESTERN S D,1,,0.5,,0.5,,0,1,0,0,52,01/01/2014,0,,52,12000,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,Norma Jafko,35 Jackson Avenue,,,Albion,PA,16401,,(814) 756-3889,,,,,,,,,,,,,,,,,,,,251101,ERIE TAX COLLECTION DISTRICT
2017,LEHIGH,390033,ALBURTIS BORO,392303,EAST PENN S D,1,,0.5,,0.5,,0,1,0,0,52,01/01/2014,0,,52,12000,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,Tracy Malinowski,260 Franklin Street,PO Box 435,,Alburtis,PA,18011,,(610) 966-4777,,,(610) 965-5517,tracym@alburtis.org,http://www.alburtis.org,,,,,,,,,,,,,,,390301,LEHIGH TAX COLLECTION DISTRICT
2017,DELAWARE,230033,ALDAN BORO,239652,WILLIAM PENN S D,0,,0,,0,,0,0,0,0,52,01/01/2006,0,,52,12000,0,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,Thomas Morse,One West Providence Road,,,Aldan,PA,19018,,(610) 626-3554,,,(610) 622-3597,aldantaxcollector@comcast.net,,,,,,,,,,,,,,,,231501,DELAWARE TAX COLLECTION DISTRICT
2017,ALLEGHENY,020034,ALEPPO TWP,027753,QUAKER VALLEY S D,0,,0.5,,0.5,,0,1,0,0,39,01/01/2008,0,,39,12000,0,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,Berkheimer-Pittsburgh,41 Macek Dr,"Wallace Building, Room 109",,Pittsburgh,PA,15227,,(412) 881-3075,,(800) 360-3075,(610) 588-5765,sperry@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,711101,ALLEGHENY NORTH TAX COLLECTION DISTRICT
2017,GREENE,300035,ALEPPO TWP,308503,WEST GREENE S D,1,,0.5,,0.5,,0,1,0,0,0,,0,,0,0,0,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300501,GREENE TAX COLLECTION DISTRICT
2017,HUNTINGDON,310033,ALEXANDRIA BORO,312804,JUNIATA VALLEY S D,0,,0.5,,1.25,07/01/2016,0,1.75,0,0,0,,0,,0,0,0,Capital Tax Collection Bureau,506 State Rd,,,Marysville,PA,17053,,(717) 957-7281,,,(717) 957-7295,captax@captax.com,www.captax.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310201,HUNTINGDON TAX COLLECTION DISTRICT
2017,BEAVER,040032,ALIQUIPPA CITY,040503,ALIQUIPPA S D,1.5,01/01/2016,1,01/01/2016,0.5,,0,1.5,0,0,99,01/01/2016,5,07/01/2008,104,15600,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,040101,BEAVER TAX COLLECTION DISTRICT
2017,POTTER,530065,ALLEGANY TWP,531304,COUDERSPORT AREA S D,1,,0.5,,0.5,,0,1,0,0,0,,10,01/01/2008,10,0,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,530201,POTTER TAX COLLECTION DISTRICT
2017,POTTER,530065,ALLEGANY TWP,535504,NORTHERN POTTER S D,1,,0.5,,0.5,07/01/2008,0,1,0,0,0,,0,,0,0,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530401,POTTER TAX COLLECTION DISTRICT
2017,BUTLER,100065,ALLEGHENY TWP,160303,ALLEG.-CLARION VALLEY SD,0,,0.5,,0.5,,0,1,0,0,52,01/01/2008,0,,52,12000,0,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,Betty Jean Blauser,161 Allegheny Church Road,,,Parker,PA,16049,,(724) 659-4522,,,,,,,,,,,,,,,,,,,,160103,CLARION TAX COLLECTION DISTRICT
2017,SOMERSET,560095,ALLEGHENY TWP,561003,BERLIN BROTHERSVALLEY SD,0.5,01/01/2012,0.5,01/01/2012,0.5,07/01/2007,0,1,0,5000,0,,0,,0,0,0,Capital Tax Collection Bureau,506 State Rd,,,Marysville,PA,17053,,(717) 957-7281,,,(717) 957-7295,captax@captax.com,www.captax.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560101,SOMERSET TAX COLLECTION DISTRICT
2017,BLAIR,070035,ALLEGHENY TWP,073503,HOLLIDAYSBURG AREA S D,0,,0.5,,0.5,,0,1,0,0,52,01/01/2008,0,,52,12000,0,Blair County Tax Bureau,PO Box 307,Suite 103,,Duncansville,PA,16635,307,(814) 317-5335,,,(814) 317-5255,,www.blairtax.org,PEGGY HALLERAN,ALLEGHENY TOWNSHIP SUPERVISORS,3131 COLONIAL DRIVE,,DUNCANSVILLE,PA,16635,,(814) 695-9563,,,(814) 696-7471,treasureratwp@atlanticbbn.net,,,,,,,,,,,,,,,,070401,BLAIR TAX COLLECTION DISTRICT
2017,WESTMORELAND,650065,ALLEGHENY TWP,654403,KISKI AREA S D,0,,0.5,,0.5,,0,1,0,0,52,01/01/2008,0,,52,12000,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,650902,WESTMORELAND TAX COLLECTION DISTRICT
2017,CAMBRIA,110065,ALLEGHENY TWP,116003,PENN CAMBRIA S D,0.5,,0.5,,0.5,,0,1,0,0,5,,5,01/01/2013,10,0,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,"J. P. Harris Associates, LLC",P.O Box 226,,,Mechanicsburg,PA,17055,,(717) 766-4357,,(866) 766-0226,(717) 766-8039,jpharrisassoc@comcast.net,http://jpharrisassociates.com,"J. P. Harris Associates, LLC",P.O. Box 226,,,MECHANICSBURG,PA,17055,,(866) 766-0226,,(866) 766-0226,,jpharrisassoc@comcast.net,http://jpharrisassociates.com,110901,CAMBRIA TAX COLLECTION DISTRICT
2017,VENANGO,610035,ALLEGHENY TWP,617203,TITUSVILLE AREA S D,0,,0.5,01/01/2014,0.5,07/01/2009,0,1,0,0,0,,10,07/01/2009,10,0,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,200506,CRAWFORD TAX COLLECTION DISTRICT
2017,NORTHAMPTON,480035,ALLEN TWP,484903,NORTHAMPTON AREA S D,1,,0.5,,0.7,07/01/2016,0,1.2,0,0,52,01/01/2008,0,,52,12000,0,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,Allen Township,4714 Indian Trail Road,,,Northampton,PA,18067,,(610) 262-7012,,,(610) 262-7364,,http://www.allentownship.org,,,,,,,,,,,,,,,480501,NORTHAMPTON TAX COLLECTION DISTRICT
2017,WASHINGTON,630033,ALLENPORT BORO,631503,CALIFORNIA A S D,1,,0.5,,0.5,,0,1,0,0,47,01/01/2008,5,07/01/2008,52,12000,0,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,630501,WASHINGTON TAX COLLECTION DISTRICT
2017,LEHIGH,390062,ALLENTOWN CITY,390302,ALLENTOWN CITY S D,1.28,01/01/2016,1.475,01/01/2017,0.5,,0,1.975,0,0,47,01/01/2006,5,07/01/2008,52,12000,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,390101,LEHIGH TAX COLLECTION DISTRICT
2017,CLINTON,180035,ALLISON TWP,183602,KEYSTONE CENTRAL S D,0.5,01/01/2012,0.5,,1,07/01/2016,0,1.5,0,0,0,,10,01/01/2010,10,0,0,Keystone Central School District Tax Office,86 Administration Drive,Suite 2,,Mill Hall,PA,17751,,(570) 893-4913,,,(570) 893-4635,hguerriero@kcsd.us,www.kcsd.k12.pa.us,,,,,,,,,,,,,,,Keystone Central School District Tax Office,86 Administration Drive,Suite 2,,Mill Hall,PA,17751,,(570) 893-4913,,,(570) 893-4635,hguerriero@kcsd.us,www.kcsd.k12.pa.us,180103,CLINTON TAX COLLECTION DISTRICT
2017,BERKS,060065,ALSACE TWP,066503,OLEY VALLEY S D,1,,0.5,,0.5,07/01/2016,0,1,0,0,0,,0,,0,0,0,Berks Earned Income Tax Bureau,1125 Berkshire Blvd,Suite 115,,Wyomissing,PA,19610,,(610) 372-8439,,(855) 372-8439,(610) 372-1102,beitb@berkseit.com,http://berkseit.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,061201,BERKS TAX COLLECTION DISTRICT
2017,BLAIR,070062,ALTOONA CITY,070502,ALTOONA AREA S D,1.5,01/01/2016,1.1,01/01/2016,0.5,,0,1.6,0,0,47,01/01/2008,5,,52,12000,0,Blair County Tax Bureau,PO Box 307,Suite 103,,Duncansville,PA,16635,307,(814) 317-5335,,,(814) 317-5255,,www.blairtax.org,Blair County Tax Collection Bureau,PO Box 307,,,Duncansville,PA,16635,307,(814) 317-5335,,,(814) 317-5255,,http://www.blairtax.org,Blair County Tax Bureau,PO Box 307,Suite 103,,Duncansville,PA,16635,307,(814) 317-5335,,,(814) 317-5255,,www.blairtax.org,070101,BLAIR TAX COLLECTION DISTRICT
2017,MONTGOMERY,460063,AMBLER BORO,469303,WISSAHICKON S D,1,,0.5,,0.5,,0,1,0,0,52,01/01/2008,0,,52,12000,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,462201,MONTGOMERY TAX COLLECTION DISTRICT
2017,BEAVER,040063,AMBRIDGE BORO,040703,AMBRIDGE AREA S D,1,,0.5,,0.5,,0,1,0,0,47,01/01/2008,5,07/01/2008,52,12000,1200,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,040201,BEAVER TAX COLLECTION DISTRICT
2017,BERKS,060095,AMITY TWP,061503,DANIEL BOONE AREA S D,1,,0.5,,0.5,,0,1,0,0,52,01/01/2008,0,,52,12000,0,Berks Earned Income Tax Bureau,1125 Berkshire Blvd,Suite 115,,Wyomissing,PA,19610,,(610) 372-8439,,(855) 372-8439,(610) 372-1102,beitb@berkseit.com,http://berkseit.com,Berks Earned Income Tax Bureau,1125 Berkshire Blvd,Suite 115,,Wyomissing,PA,19610,,(610) 372-8439,,(855) 372-8439,(610) 372-1102,beitb@berkseit.com,http://berkseit.com,,,,,,,,,,,,,,,060501,BERKS TAX COLLECTION DISTRICT
2017,ERIE,250065,AMITY TWP,259703,WATTSBURG AREA S D,1,,0.5,,0.5,07/01/1969,0,1,0,0,0,,10,05/20/1987,10,0,5000,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,Berkheimer-Erie,3608 W 26th St,,,Erie,PA,16506,,(814) 833-4870,,(866) 701-7206,(814) 838-0751,csberk@hab-inc.com,http://www.hab-inc.com,251301,ERIE TAX COLLECTION DISTRICT
2017,WASHINGTON,630065,AMWELL TWP,638003,TRINITY AREA S D,1,,0.5,,0.5,,0,1,0,0,47,01/01/2008,5,01/01/2008,52,12000,1000,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,MARJORIE B. DAY,885 AMITY RIDGE ROAD,,,AMITY,PA,15311,,(724) 223-8960,,,(724) 222-6427,amwelltaxes@comcast.net,,MARJORIE B. DAY,885 AMITY RIDGE ROAD,,,AMITY,PA,15311,,(724) 223-8960,,,(724) 222-6427,amwelltaxes@comcast.net,,631301,WASHINGTON TAX COLLECTION DISTRICT
2017,MCKEAN,420035,ANNIN TWP,426303,PORT ALLEGANY S D,0,,0.5,01/01/1967,0.5,07/01/2007,0,1,10000,0,0,,0,,0,0,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420401,MCKEAN TAX COLLECTION DISTRICT
2017,LEBANON,380034,ANNVILLE TWP,380303,ANNVILLE-CLEONA S D,0,,0.5,,0.9,01/01/2016,0,1.4,0,0,52,01/01/2014,0,,52,12000,0,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,,,,,,,,,,,,,,,380101,LEBANON TAX COLLECTION DISTRICT
2017,LYCOMING,410035,ANTHONY TWP,414003,JERSEY SHORE AREA S D,0.5,01/01/2009,0.5,,1.1,07/01/2016,0,1.6,0,0,0,,0,,0,0,0,Municipal and School Earned Income Tax Office,2790 West Fourth Street,,,Williamsport,PA,17701,,(570) 601-3980,,,,,www.wasd.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410204,LYCOMING TAX COLLECTION DISTRICT
2017,MONTOUR,470035,ANTHONY TWP,498003,WARRIOR RUN S D,1,,0.5,,1.3,07/01/2017,0,1.8,0,0,0,,0,,0,0,0,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490601,NORTHUMBERLAND TAX COLLECTION DISTRICT
2017,BLAIR,070095,ANTIS TWP,071003,BELLWOOD-ANTIS S D,0,,0.5,01/01/1963,0.5,07/01/2008,0,1,0,0,47,01/01/2014,5,07/01/2008,52,12000,1000,Blair County Tax Bureau,PO Box 307,Suite 103,,Duncansville,PA,16635,307,(814) 317-5335,,,(814) 317-5255,,www.blairtax.org,Blair County Tax Bureau,PO Box 307,Suite 103,,Duncansville,PA,16635,307,(814) 317-5335,,,(814) 317-5255,,www.blairtax.org,Blair County Tax Bureau,PO Box 307,Suite 103,,Duncansville,PA,16635,307,(814) 317-5335,,,(814) 317-5255,,www.blairtax.org,070201,BLAIR TAX COLLECTION DISTRICT
2017,FRANKLIN,280035,ANTRIM TWP,283003,GREENCASTLE-ANTRIM S D,0,,0.5,,0.5,,0,1,0,0,47,01/01/2017,5,01/01/2013,52,12000,12000,Franklin County Area Tax Bureau,443 Stanley Avenue,,,Chambersburg,PA,17201,,(717) 263-5141,,,,,www.fcatb.org,Franklin County Area Tax Bureau,443 Stanley Avenue,,,Chambersburg,PA,17201,,(717) 263-5141,,,,,www.fcatb.org,Franklin County Area Tax Board,443 Stanley Ave,,,Chambersburg,PA,17201,3600,(717) 263-5141,,,,,,280301,FRANKLIN TAX COLLECTION DISTRICT
2017,SUSQUEHANNA,580035,APOLACON TWP,584503,MONTROSE AREA S D,0,,0,,0,,0,0,0,0,0,,0,,0,0,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580401,SUSQUEHANNA TAX COLLECTION DISTRICT
