TRatePercent,Health_Events,Geography,CalendarYear,Gender,RaceEthnicity,Textbox3,DT_Count,DT_Population,DT_RATE,DT_LB,DT_UB1,Significance,County_Code
   Age-Adjusted Rate,Asthma,Adams,2014,Total,White,35 to 64,26,"40,134",7.1,4.4,9.8,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,White,65+,21,"18,221",11.3,6.5,16.1,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,Black,All ages,ND,"1,948",ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,Black,5 to 14,ND,316,ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,Black,15 to 34,ND,620,ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,Black,35 to 64,ND,641,ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,Black,65+,ND,162,ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,Hispanic,All ages,ND,"6,739",ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,Hispanic,5 to 14,ND,"1,570",ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,Hispanic,15 to 34,ND,"2,265",ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,Hispanic,35 to 64,ND,"1,915",ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,Hispanic,65+,ND,227,ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,All Races,All ages,"1,805","1,232,896",13.7,13.1,14.3,,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,All Races,5 to 14,178,"128,778",13.9,11.9,15.9,,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,All Races,15 to 34,213,"339,675",6.2,5.4,7.0,,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,All Races,35 to 64,754,"485,561",14.5,13.5,15.5,+,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,All Races,65+,542,"213,691",25.2,23.1,27.3,+,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,White,All ages,"1,057","997,403",9.3,8.7,9.9,+,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,White,5 to 14,71,"92,029",7.8,6.0,9.6,+,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,White,15 to 34,94,"261,770",3.4,2.7,4.1,,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,White,35 to 64,430,"407,861",9.9,9.0,10.8,+,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,White,65+,415,"190,302",21.7,19.6,23.8,+,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,Black,All ages,710,"165,226",42.7,39.6,45.8,,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,Black,5 to 14,105,"24,269",43.2,34.9,51.5,-,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,Black,15 to 34,114,"51,111",22.5,18.4,26.6,,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,Black,35 to 64,311,"57,842",50.2,44.6,55.8,,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,Black,65+,118,"19,686",59.0,48.4,69.6,+,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,Hispanic,All ages,ND,"23,631",ND,ND,ND,,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,Hispanic,5 to 14,ND,"3,944",ND,ND,ND,,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,Hispanic,15 to 34,ND,"9,301",ND,ND,ND,,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,Hispanic,35 to 64,ND,"6,883",ND,ND,ND,,003
   Age-Adjusted Rate,Asthma,Allegheny,2014,Total,Hispanic,65+,ND,"1,384",ND,ND,ND,,003
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,All Races,All ages,35,"67,693",4.7,3.1,6.3,-,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,All Races,5 to 14,ND,"7,458",ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,All Races,15 to 34,ND,"14,518",ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,All Races,35 to 64,15,"28,726",ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,All Races,65+,12,"13,628",ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,White,All ages,34,"66,242",4.7,3.1,6.3,-,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,White,5 to 14,ND,"7,145",ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,White,15 to 34,ND,"14,136",ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,White,35 to 64,14,"28,264",ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,White,65+,12,"13,459",ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,Black,All ages,ND,612,ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,Black,5 to 14,ND,105,ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,Black,15 to 34,ND,148,ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,Black,35 to 64,ND,238,ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,Black,65+,ND,90,ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,Hispanic,All ages,ND,472,ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,Hispanic,5 to 14,ND,103,ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,Hispanic,15 to 34,ND,151,ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,Hispanic,35 to 64,ND,147,ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Armstrong,2014,Total,Hispanic,65+,ND,38,ND,ND,ND,,005
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,All Races,All ages,136,"169,338",6.9,5.7,8.1,-,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,All Races,5 to 14,11,"18,691",ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,All Races,15 to 34,11,"38,675",ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,All Races,35 to 64,46,"69,975",5.3,3.8,6.8,-,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,All Races,65+,51,"33,330",15.1,11.0,19.2,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,White,All ages,114,"154,262",6.2,5.1,7.3,-,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,White,5 to 14,ND,"15,793",ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,White,15 to 34,10,"34,222",ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,White,35 to 64,35,"65,278",4.1,2.7,5.5,-,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,White,65+,49,"31,759",15.1,10.9,19.3,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,Black,All ages,17,"10,765",ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,Black,5 to 14,ND,"1,673",ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,Black,15 to 34,ND,"3,147",ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,Black,35 to 64,10,"3,789",ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,Black,65+,ND,"1,348",ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,Hispanic,All ages,ND,"2,436",ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,Hispanic,5 to 14,ND,486,ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,Hispanic,15 to 34,ND,782,ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,Hispanic,35 to 64,ND,715,ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Beaver,2014,Total,Hispanic,65+,ND,208,ND,ND,ND,,007
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,All Races,All ages,32,"48,939",5.5,3.6,7.4,-,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,All Races,5 to 14,ND,"5,715",ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,All Races,15 to 34,ND,"10,344",ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,All Races,35 to 64,11,"20,410",ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,All Races,65+,16,"10,002",ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,White,All ages,32,"47,908",5.5,3.6,7.4,-,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,White,5 to 14,ND,"5,507",ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,White,15 to 34,ND,"10,049",ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,White,35 to 64,11,"20,093",ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,White,65+,16,"9,899",ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,Black,All ages,ND,321,ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,Black,5 to 14,ND,48,ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,Black,15 to 34,ND,116,ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,Black,35 to 64,ND,99,ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,Black,65+,ND,30,ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,Hispanic,All ages,ND,540,ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,Hispanic,5 to 14,ND,119,ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,Hispanic,15 to 34,ND,179,ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,Hispanic,35 to 64,ND,160,ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Bedford,2014,Total,Hispanic,65+,ND,37,ND,ND,ND,,009
   Age-Adjusted Rate,Asthma,Berks,2014,Total,All Races,All ages,673,"414,360",15.6,14.4,16.8,+,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,All Races,5 to 14,86,"53,251",16.4,12.9,19.9,,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,All Races,15 to 34,40,"107,370",3.8,2.6,5.0,-,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,All Races,35 to 64,295,"163,542",17.0,15.1,18.9,+,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,All Races,65+,167,"65,749",25.2,21.4,29.0,+,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,White,All ages,340,"367,459",8.5,7.6,9.4,,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,White,5 to 14,38,"44,499",8.6,5.9,11.3,+,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,White,15 to 34,17,"91,910",ND,ND,ND,,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,White,35 to 64,132,"148,774",8.0,6.6,9.4,,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,White,65+,117,"62,855",18.4,15.1,21.7,,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,Black,All ages,65,"27,840",25.7,19.5,31.9,-,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,Black,5 to 14,10,"4,628",ND,ND,ND,,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,Black,15 to 34,ND,"9,456",ND,ND,ND,,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,Black,35 to 64,35,"9,088",35.9,24.0,47.8,,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,Black,65+,ND,"1,842",ND,ND,ND,,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,Hispanic,All ages,196,"77,791",32.3,27.8,36.8,+,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,Hispanic,5 to 14,35,"16,197",21.1,14.1,28.1,,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,Hispanic,15 to 34,ND,"26,598",ND,ND,ND,,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,Hispanic,35 to 64,94,"22,868",42.1,33.6,50.6,+,011
   Age-Adjusted Rate,Asthma,Berks,2014,Total,Hispanic,65+,25,"3,382",75.5,45.9,105.1,+,011
   Age-Adjusted Rate,Asthma,Blair,2014,Total,All Races,All ages,75,"126,016",5.7,4.4,7.0,-,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,All Races,5 to 14,ND,"14,559",ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,All Races,15 to 34,ND,"29,904",ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,All Races,35 to 64,34,"50,147",6.3,4.2,8.4,-,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,All Races,65+,16,"24,339",ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,White,All ages,69,"120,858",5.5,4.2,6.8,-,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,White,5 to 14,ND,"13,476",ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,White,15 to 34,ND,"28,226",ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,White,35 to 64,30,"48,699",5.8,3.7,7.9,-,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,White,65+,15,"24,021",ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,Black,All ages,ND,"2,339",ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,Black,5 to 14,ND,407,ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,Black,15 to 34,ND,844,ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,Black,35 to 64,ND,713,ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,Black,65+,ND,172,ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,Hispanic,All ages,ND,"1,459",ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,Hispanic,5 to 14,ND,277,ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,Hispanic,15 to 34,ND,496,ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,Hispanic,35 to 64,ND,385,ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Blair,2014,Total,Hispanic,65+,ND,126,ND,ND,ND,,013
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,All Races,All ages,59,"61,673",8.1,6.0,10.2,-,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,All Races,5 to 14,ND,"7,601",ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,All Races,15 to 34,ND,"13,474",ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,All Races,35 to 64,27,"24,906",9.8,6.1,13.5,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,All Races,65+,21,"12,085",16.9,9.7,24.1,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,White,All ages,56,"60,075",7.8,5.8,9.8,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,White,5 to 14,ND,"7,303",ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,White,15 to 34,ND,"13,008",ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,White,35 to 64,26,"24,408",9.7,6.0,13.4,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,White,65+,21,"11,924",17.1,9.8,24.4,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,Black,All ages,ND,389,ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,Black,5 to 14,ND,79,ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,Black,15 to 34,ND,150,ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,Black,35 to 64,ND,115,ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,Black,65+,ND,17,ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,Hispanic,All ages,ND,903,ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,Hispanic,5 to 14,ND,176,ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,Hispanic,15 to 34,ND,294,ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,Hispanic,35 to 64,ND,242,ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bradford,2014,Total,Hispanic,65+,ND,67,ND,ND,ND,,015
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,All Races,All ages,646,"626,608",9.5,8.8,10.2,-,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,All Races,5 to 14,48,"76,857",6.5,4.7,8.3,-,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,All Races,15 to 34,64,"144,657",4.4,3.3,5.5,-,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,All Races,35 to 64,259,"269,662",8.9,7.8,10.0,-,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,All Races,65+,215,"104,419",20.6,17.8,23.4,,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,White,All ages,531,"560,241",8.5,7.8,9.2,,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,White,5 to 14,28,"65,594",4.4,2.8,6.0,,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,White,15 to 34,47,"125,738",3.8,2.7,4.9,,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,White,35 to 64,219,"244,793",8.4,7.3,9.5,,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,White,65+,198,"98,685",20.1,17.3,22.9,+,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,Black,All ages,52,"25,759",20.1,14.6,25.6,-,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,Black,5 to 14,ND,"3,990",ND,ND,ND,,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,Black,15 to 34,12,"7,871",ND,ND,ND,,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,Black,35 to 64,22,"9,734",20.5,11.9,29.1,-,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,Black,65+,ND,"2,191",ND,ND,ND,,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,Hispanic,All ages,20,"30,546",7.6,4.3,10.9,-,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,Hispanic,5 to 14,ND,"5,939",ND,ND,ND,,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,Hispanic,15 to 34,ND,"9,772",ND,ND,ND,,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,Hispanic,35 to 64,13,"10,310",ND,ND,ND,,017
   Age-Adjusted Rate,Asthma,Bucks,2014,Total,Hispanic,65+,ND,"1,622",ND,ND,ND,,017
   Age-Adjusted Rate,Asthma,Butler,2014,Total,All Races,All ages,146,"186,386",7.4,6.2,8.6,-,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,All Races,5 to 14,ND,"22,041",ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,All Races,15 to 34,11,"44,896",ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,All Races,35 to 64,55,"78,557",6.7,4.9,8.5,-,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,All Races,65+,52,"31,537",17.0,12.4,21.6,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,White,All ages,143,"179,605",7.6,6.4,8.8,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,White,5 to 14,ND,"20,759",ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,White,15 to 34,11,"42,589",ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,White,35 to 64,54,"76,403",6.9,5.1,8.7,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,White,65+,50,"31,056",16.7,12.1,21.3,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,Black,All ages,ND,"2,395",ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,Black,5 to 14,ND,279,ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,Black,15 to 34,ND,"1,064",ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,Black,35 to 64,ND,734,ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,Black,65+,ND,175,ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,Hispanic,All ages,ND,"2,506",ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,Hispanic,5 to 14,ND,446,ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,Hispanic,15 to 34,ND,863,ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,Hispanic,35 to 64,ND,781,ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Butler,2014,Total,Hispanic,65+,ND,157,ND,ND,ND,,019
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,All Races,All ages,123,"137,534",8.6,7.1,10.1,-,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,All Races,5 to 14,ND,"15,092",ND,ND,ND,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,All Races,15 to 34,ND,"31,862",ND,ND,ND,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,All Races,35 to 64,57,"55,769",10.7,7.9,13.5,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,All Races,65+,36,"28,038",12.7,8.6,16.8,-,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,White,All ages,108,"129,785",8.0,6.5,9.5,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,White,5 to 14,ND,"13,590",ND,ND,ND,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,White,15 to 34,ND,"29,417",ND,ND,ND,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,White,35 to 64,50,"53,425",9.7,7.0,12.4,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,White,65+,33,"27,471",11.9,7.8,16.0,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,Black,All ages,14,"4,825",ND,ND,ND,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,Black,5 to 14,ND,712,ND,ND,ND,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,Black,15 to 34,ND,"1,559",ND,ND,ND,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,Black,35 to 64,ND,"1,709",ND,ND,ND,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,Black,65+,ND,406,ND,ND,ND,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,Hispanic,All ages,ND,"2,121",ND,ND,ND,,021
   Age-Adjusted Rate,Asthma,Cambria,2014,Total,Hispanic,5 to 14,ND,392,ND,ND,ND,,021
